begin,open,close,high,low,value,volume,end,year,ticker,company_name
2016-03-25,96.3,95.28,96.3,95.17,35182268.8,367910,2016-03-25 23:59:59,2016,RTKM,Ростелеком
2016-03-28,95.15,94.05,95.75,93.5,83195212.0,879810,2016-03-28 23:59:59,2016,RTKM,Ростелеком
2016-03-29,94.26,94.48,95.66,94.08,120691039.9,1273600,2016-03-29 23:59:59,2016,RTKM,Ростелеком
2016-03-30,95.05,98.35,98.39,94.75,296407782.5,3060420,2016-03-30 23:59:59,2016,RTKM,Ростелеком
2016-03-31,98.37,98.6,99.65,98.21,335183872.9,3392630,2016-03-31 23:59:59,2016,RTKM,Ростелеком
2016-04-01,98.5,98.34,102.74,95.5,569420442.2,5747420,2016-04-01 23:59:59,2016,RTKM,Ростелеком
2016-04-04,97.1,97.77,98.95,97.1,176999895.9,1805890,2016-04-04 23:59:59,2016,RTKM,Ростелеком
2016-04-05,97.21,96.4,97.75,95.7,119082805.2,1232710,2016-04-05 23:59:59,2016,RTKM,Ростелеком
2016-04-06,96.23,96.9,97.41,95.6,131192742.3,1361190,2016-04-06 23:59:59,2016,RTKM,Ростелеком
2016-04-07,97.75,97.76,98.45,96.52,175726905.1,1803460,2016-04-07 23:59:59,2016,RTKM,Ростелеком
2016-04-08,97.77,98.13,98.89,97.55,172731122.9,1759230,2016-04-08 23:59:59,2016,RTKM,Ростелеком
2016-04-11,97.6,100.07,100.07,97.11,218841685.0,2205500,2016-04-11 23:59:59,2016,RTKM,Ростелеком
2016-04-12,101.11,97.87,101.11,97.06,233436036.0,2374460,2016-04-12 23:59:59,2016,RTKM,Ростелеком
2016-04-13,98.19,99.21,100.35,97.31,276399625.8,2787610,2016-04-13 23:59:59,2016,RTKM,Ростелеком
2016-04-14,99.46,96.33,99.88,95.65,222296228.7,2277290,2016-04-14 23:59:59,2016,RTKM,Ростелеком
2016-04-15,96.54,96.05,97.52,95.33,122133091.3,1268790,2016-04-15 23:59:59,2016,RTKM,Ростелеком
