begin,open,close,high,low,value,volume,end,year,ticker,company_name
2022-09-23,5059.5,4889.0,5059.5,4700.0,1318833022.5,271044,2022-09-23 23:59:59,2022,MGNT,Магнит
2022-09-26,4815.0,4474.0,4866.0,4380.0,1546063370.0,335583,2022-09-26 23:59:59,2022,MGNT,Магнит
2022-09-27,4519.0,4481.5,4650.0,4306.5,920011693.0,206101,2022-09-27 23:59:59,2022,MGNT,Магнит
2022-09-28,4465.5,4750.0,4780.0,4400.0,769866196.5,170301,2022-09-28 23:59:59,2022,MGNT,Магнит
2022-09-29,4740.0,4537.5,4740.0,4421.0,830194134.0,181775,2022-09-29 23:59:59,2022,MGNT,Магнит
2022-09-30,4520.0,4722.0,4745.0,4355.0,1009327142.5,222670,2022-09-30 23:59:59,2022,MGNT,Магнит
2022-10-03,4740.0,5008.0,5030.0,4633.0,1301015811.0,266215,2022-10-03 23:59:59,2022,MGNT,Магнит
2022-10-04,4970.0,4906.5,5019.5,4843.0,806437187.0,163807,2022-10-04 23:59:59,2022,MGNT,Магнит
2022-10-05,4900.0,4784.5,4907.0,4740.0,1130205061.0,235178,2022-10-05 23:59:59,2022,MGNT,Магнит
2022-10-06,4802.0,4719.5,4846.5,4711.0,514812007.0,108016,2022-10-06 23:59:59,2022,MGNT,Магнит
2022-10-07,4719.5,4546.0,4719.5,4530.0,549635281.5,118659,2022-10-07 23:59:59,2022,MGNT,Магнит
2022-10-10,4399.0,4645.0,4690.0,4352.0,769432017.5,167248,2022-10-10 23:59:59,2022,MGNT,Магнит
2022-10-11,4690.0,4838.0,4849.0,4668.5,829066544.5,173351,2022-10-11 23:59:59,2022,MGNT,Магнит
2022-10-12,4866.5,4772.0,4910.0,4710.0,637099259.5,132667,2022-10-12 23:59:59,2022,MGNT,Магнит
2022-10-13,4810.0,4772.5,4810.0,4731.0,397581656.5,83380,2022-10-13 23:59:59,2022,MGNT,Магнит
2022-10-14,4780.0,4810.0,4845.0,4760.5,449495791.0,93454,2022-10-14 23:59:59,2022,MGNT,Магнит
2022-10-17,4849.0,5060.5,5064.5,4818.5,996481910.5,200064,2022-10-17 23:59:59,2022,MGNT,Магнит
2022-10-18,5072.0,4918.5,5124.5,4890.0,787216369.5,156729,2022-10-18 23:59:59,2022,MGNT,Магнит
2022-10-19,4889.5,4961.0,4999.0,4820.0,1047353028.0,213320,2022-10-19 23:59:59,2022,MGNT,Магнит
2022-10-20,4988.0,5011.5,5058.5,4961.5,574054938.0,114610,2022-10-20 23:59:59,2022,MGNT,Магнит
2022-10-21,5012.0,5164.0,5188.0,4971.0,674949486.0,133009,2022-10-21 23:59:59,2022,MGNT,Магнит
2022-10-24,5177.0,5196.5,5256.0,5121.0,557100787.0,107551,2022-10-24 23:59:59,2022,MGNT,Магнит
2022-10-25,5218.5,5315.0,5350.0,5167.0,811355251.0,153877,2022-10-25 23:59:59,2022,MGNT,Магнит
2022-10-26,5330.0,5270.0,5369.5,5130.0,843682022.5,160074,2022-10-26 23:59:59,2022,MGNT,Магнит
2022-10-27,5302.5,5247.0,5320.0,5182.5,1042250773.0,198454,2022-10-27 23:59:59,2022,MGNT,Магнит
2022-10-28,5230.0,5269.0,5291.5,5180.0,694517611.0,132533,2022-10-28 23:59:59,2022,MGNT,Магнит
2022-10-31,5275.0,5237.0,5302.0,5208.0,486519441.5,92553,2022-10-31 23:59:59,2022,MGNT,Магнит
2022-11-01,5250.0,5249.5,5265.0,5190.0,394597380.0,75467,2022-11-01 23:59:59,2022,MGNT,Магнит
2022-11-02,5239.0,5170.0,5270.0,5030.0,458860893.5,88064,2022-11-02 23:59:59,2022,MGNT,Магнит
2022-11-03,5167.0,5183.0,5196.0,5100.0,464289999.0,90260,2022-11-03 23:59:59,2022,MGNT,Магнит
2022-11-07,5205.0,5208.5,5259.0,5160.0,667002643.0,127955,2022-11-07 23:59:59,2022,MGNT,Магнит
2022-11-08,5204.0,5165.0,5204.0,5105.0,824208635.5,160124,2022-11-08 23:59:59,2022,MGNT,Магнит
2022-11-09,5174.0,5027.5,5174.0,5000.0,794818322.0,156862,2022-11-09 23:59:59,2022,MGNT,Магнит
2022-11-10,5045.0,5031.5,5059.5,4927.0,1078014985.5,215901,2022-11-10 23:59:59,2022,MGNT,Магнит
2022-11-11,5049.0,5005.0,5050.0,4966.5,572374238.5,114515,2022-11-11 23:59:59,2022,MGNT,Магнит
2022-11-14,5010.0,4974.5,5049.5,4952.0,624339993.0,124891,2022-11-14 23:59:59,2022,MGNT,Магнит
2022-11-15,4980.0,4888.0,5025.0,4735.0,1814327593.0,368208,2022-11-15 23:59:59,2022,MGNT,Магнит
2022-11-16,4912.0,4945.5,4970.0,4894.5,643507765.0,130353,2022-11-16 23:59:59,2022,MGNT,Магнит
2022-11-17,4948.5,5011.5,5090.0,4936.0,1578677489.0,314140,2022-11-17 23:59:59,2022,MGNT,Магнит
2022-11-18,5027.0,4918.5,5027.0,4870.0,1397585022.5,283814,2022-11-18 23:59:59,2022,MGNT,Магнит
2022-11-21,4900.5,4856.0,4920.0,4809.0,818704243.0,168881,2022-11-21 23:59:59,2022,MGNT,Магнит
2022-11-22,4865.0,4869.0,4911.5,4846.0,439854325.5,90194,2022-11-22 23:59:59,2022,MGNT,Магнит
2022-11-23,4870.0,4879.5,4898.0,4826.0,340612529.5,69965,2022-11-23 23:59:59,2022,MGNT,Магнит
2022-11-24,4885.0,4893.0,4942.0,4869.0,500240202.5,101941,2022-11-24 23:59:59,2022,MGNT,Магнит
2022-11-25,4893.5,4849.0,4912.0,4830.0,432499610.5,89038,2022-11-25 23:59:59,2022,MGNT,Магнит
2022-11-28,4837.5,4844.0,4875.0,4811.0,408793709.5,84465,2022-11-28 23:59:59,2022,MGNT,Магнит
2022-11-29,4864.0,4819.0,4871.5,4766.0,665131995.5,138025,2022-11-29 23:59:59,2022,MGNT,Магнит
2022-11-30,4827.5,4827.0,4828.5,4790.0,250788987.5,52206,2022-11-30 23:59:59,2022,MGNT,Магнит
2022-12-01,4835.5,4777.0,4840.0,4751.0,624647661.5,130523,2022-12-01 23:59:59,2022,MGNT,Магнит
2022-12-02,4777.0,4667.0,4777.0,4663.0,1712768297.0,364639,2022-12-02 23:59:59,2022,MGNT,Магнит
2022-12-05,4669.5,4587.0,4670.0,4552.0,2236216613.5,485824,2022-12-05 23:59:59,2022,MGNT,Магнит
2022-12-06,4591.0,4475.5,4597.0,4450.5,3329303481.0,739873,2022-12-06 23:59:59,2022,MGNT,Магнит
2022-12-07,4475.5,4492.5,4567.5,4440.5,3084990758.5,685499,2022-12-07 23:59:59,2022,MGNT,Магнит
2022-12-08,4509.0,4464.0,4509.0,4421.0,1396356633.0,313032,2022-12-08 23:59:59,2022,MGNT,Магнит
2022-12-09,4462.5,4446.0,4494.0,4431.0,785553288.0,176202,2022-12-09 23:59:59,2022,MGNT,Магнит
2022-12-12,4468.0,4560.0,4563.0,4453.0,2072933453.0,458900,2022-12-12 23:59:59,2022,MGNT,Магнит
2022-12-13,4570.0,4529.5,4600.0,4470.0,2199971162.5,483977,2022-12-13 23:59:59,2022,MGNT,Магнит
2022-12-14,4510.5,4454.5,4525.0,4447.0,1248757847.5,279071,2022-12-14 23:59:59,2022,MGNT,Магнит
2022-12-15,4450.0,4382.5,4473.5,4353.0,1594032474.0,362899,2022-12-15 23:59:59,2022,MGNT,Магнит
2022-12-16,4379.0,4386.5,4429.0,4370.0,748628705.0,170188,2022-12-16 23:59:59,2022,MGNT,Магнит
2022-12-19,4369.5,4260.0,4381.0,4257.0,1445309765.0,335425,2022-12-19 23:59:59,2022,MGNT,Магнит
2022-12-20,4250.0,4326.0,4350.0,4239.0,1541325316.5,359133,2022-12-20 23:59:59,2022,MGNT,Магнит
2022-12-21,4333.0,4288.5,4368.5,4271.0,1061513798.0,246884,2022-12-21 23:59:59,2022,MGNT,Магнит
2022-12-22,4288.0,4347.0,4350.0,4245.0,980286065.0,226935,2022-12-22 23:59:59,2022,MGNT,Магнит
2022-12-23,4355.5,4315.5,4394.0,4296.0,923494973.0,213023,2022-12-23 23:59:59,2022,MGNT,Магнит
2022-12-26,4315.0,4442.0,4445.0,4315.0,1138670264.5,259938,2022-12-26 23:59:59,2022,MGNT,Магнит
2022-12-27,4450.5,4425.5,4490.0,4423.0,1013910164.5,227798,2022-12-27 23:59:59,2022,MGNT,Магнит
2022-12-28,4423.0,4414.5,4486.5,4370.0,1000738146.5,225915,2022-12-28 23:59:59,2022,MGNT,Магнит
2022-12-29,4400.0,4407.5,4460.0,4395.0,635433501.5,143413,2022-12-29 23:59:59,2022,MGNT,Магнит
2022-12-30,4410.5,4340.5,4419.0,4334.0,1107293540.0,253915,2022-12-30 23:59:59,2022,MGNT,Магнит
2023-01-03,4367.0,4360.5,4378.0,4340.5,401932698.5,92147,2023-01-03 23:59:59,2023,MGNT,Магнит
2023-01-04,4369.5,4369.0,4383.0,4350.5,291030280.0,66631,2023-01-04 23:59:59,2023,MGNT,Магнит
2023-01-05,4370.0,4325.5,4374.5,4308.0,477102817.5,110050,2023-01-05 23:59:59,2023,MGNT,Магнит
2023-01-06,4310.0,4319.5,4329.0,4309.0,197520972.5,45710,2023-01-06 23:59:59,2023,MGNT,Магнит
2023-01-09,4324.5,4330.0,4365.0,4320.0,565796674.0,130304,2023-01-09 23:59:59,2023,MGNT,Магнит
2023-01-10,4328.0,4372.5,4378.0,4312.5,619395485.0,142305,2023-01-10 23:59:59,2023,MGNT,Магнит
2023-01-11,4379.0,4458.0,4461.0,4361.0,822632084.0,186034,2023-01-11 23:59:59,2023,MGNT,Магнит
2023-01-12,4465.0,4638.0,4664.0,4426.0,3758953088.0,818747,2023-01-12 23:59:59,2023,MGNT,Магнит
2023-01-13,4640.0,4620.0,4675.0,4610.0,1669468317.0,360425,2023-01-13 23:59:59,2023,MGNT,Магнит
2023-01-16,4630.5,4674.0,4688.0,4612.0,1309202402.0,280510,2023-01-16 23:59:59,2023,MGNT,Магнит
2023-01-17,4685.0,4628.0,4726.5,4590.0,2437355764.0,523049,2023-01-17 23:59:59,2023,MGNT,Магнит
2023-01-18,4628.0,4575.5,4658.0,4557.0,1120279183.5,242687,2023-01-18 23:59:59,2023,MGNT,Магнит
2023-01-19,4579.5,4504.5,4586.0,4465.0,1529393033.5,338491,2023-01-19 23:59:59,2023,MGNT,Магнит
2023-01-20,4528.0,4575.5,4577.0,4509.0,910547882.5,200307,2023-01-20 23:59:59,2023,MGNT,Магнит
2023-01-23,4581.0,4634.5,4647.5,4581.0,718009670.5,155186,2023-01-23 23:59:59,2023,MGNT,Магнит
2023-01-24,4642.0,4586.5,4676.0,4567.0,964964337.0,208754,2023-01-24 23:59:59,2023,MGNT,Магнит
2023-01-25,4587.0,4597.0,4599.0,4560.0,391391179.5,85481,2023-01-25 23:59:59,2023,MGNT,Магнит
2023-01-26,4594.0,4602.0,4637.5,4579.5,458710752.0,99617,2023-01-26 23:59:59,2023,MGNT,Магнит
2023-01-27,4609.0,4609.0,4615.0,4582.5,364923016.5,79282,2023-01-27 23:59:59,2023,MGNT,Магнит
2023-01-30,4612.0,4653.5,4663.0,4601.5,651447347.0,140430,2023-01-30 23:59:59,2023,MGNT,Магнит
2023-01-31,4658.0,4665.0,4685.0,4651.5,697764008.0,149446,2023-01-31 23:59:59,2023,MGNT,Магнит
2023-02-01,4675.0,4647.0,4676.0,4601.0,743151975.0,160065,2023-02-01 23:59:59,2023,MGNT,Магнит
2023-02-02,4648.0,4694.0,4739.0,4619.5,1211136429.5,257842,2023-02-02 23:59:59,2023,MGNT,Магнит
2023-02-03,4704.0,4665.0,4707.0,4625.0,694345804.0,148908,2023-02-03 23:59:59,2023,MGNT,Магнит
2023-02-06,4670.0,4720.0,4748.5,4664.0,758683042.0,160765,2023-02-06 23:59:59,2023,MGNT,Магнит
2023-02-07,4725.5,4757.0,4774.0,4708.5,744154841.0,156723,2023-02-07 23:59:59,2023,MGNT,Магнит
2023-02-08,4770.0,4698.0,4796.0,4500.0,1551075513.0,331190,2023-02-08 23:59:59,2023,MGNT,Магнит
2023-02-09,4702.0,4696.0,4739.0,4660.0,565151728.5,120176,2023-02-09 23:59:59,2023,MGNT,Магнит
2023-02-10,4695.5,4683.5,4755.0,4665.0,655584331.5,139278,2023-02-10 23:59:59,2023,MGNT,Магнит
2023-02-13,4695.0,4689.0,4710.0,4683.5,341144541.0,72651,2023-02-13 23:59:59,2023,MGNT,Магнит
2023-02-14,4681.0,4621.0,4702.5,4605.0,602888329.5,130087,2023-02-14 23:59:59,2023,MGNT,Магнит
2023-02-15,4610.0,4432.5,4619.0,4355.5,1273274891.0,283445,2023-02-15 23:59:59,2023,MGNT,Магнит
2023-02-16,4465.0,4430.0,4513.5,4382.5,778808328.0,174886,2023-02-16 23:59:59,2023,MGNT,Магнит
2023-02-17,4412.0,4447.5,4465.5,4392.0,384763621.0,86668,2023-02-17 23:59:59,2023,MGNT,Магнит
2023-02-20,4447.5,4481.5,4490.0,4405.5,339829522.0,76416,2023-02-20 23:59:59,2023,MGNT,Магнит
2023-02-21,4494.5,4566.0,4590.0,4466.0,608270513.5,133616,2023-02-21 23:59:59,2023,MGNT,Магнит
2023-02-22,4570.0,4549.5,4579.0,4508.0,417254188.0,91721,2023-02-22 23:59:59,2023,MGNT,Магнит
2023-02-24,4555.0,4559.5,4596.0,4545.0,276486098.5,60466,2023-02-24 23:59:59,2023,MGNT,Магнит
2023-02-27,4535.0,4643.0,4650.0,4512.0,488634955.5,106082,2023-02-27 23:59:59,2023,MGNT,Магнит
2023-02-28,4661.0,4594.0,4677.0,4571.5,716798173.0,155382,2023-02-28 23:59:59,2023,MGNT,Магнит
2023-03-01,4604.5,4567.0,4611.5,4527.0,1426164243.5,312887,2023-03-01 23:59:59,2023,MGNT,Магнит
2023-03-02,4568.0,4524.0,4568.0,4490.5,656508767.0,144975,2023-03-02 23:59:59,2023,MGNT,Магнит
2023-03-03,4520.0,4546.5,4558.5,4512.0,372774094.0,82023,2023-03-03 23:59:59,2023,MGNT,Магнит
2023-03-06,4564.5,4559.0,4574.0,4540.5,411209537.5,90200,2023-03-06 23:59:59,2023,MGNT,Магнит
2023-03-07,4559.5,4553.0,4568.5,4520.0,368627287.5,80984,2023-03-07 23:59:59,2023,MGNT,Магнит
2023-03-09,4559.0,4551.5,4588.0,4545.5,419258857.5,91770,2023-03-09 23:59:59,2023,MGNT,Магнит
2023-03-10,4540.0,4524.0,4550.0,4495.0,644815867.0,142577,2023-03-10 23:59:59,2023,MGNT,Магнит
2023-03-13,4526.5,4527.5,4554.5,4500.0,431049351.5,95241,2023-03-13 23:59:59,2023,MGNT,Магнит
2023-03-14,4527.5,4539.5,4554.5,4515.0,462571444.5,101902,2023-03-14 23:59:59,2023,MGNT,Магнит
2023-03-15,4550.5,4500.0,4570.0,4456.0,702258371.0,155669,2023-03-15 23:59:59,2023,MGNT,Магнит
2023-03-16,4511.5,4492.0,4512.0,4455.5,556193526.5,124223,2023-03-16 23:59:59,2023,MGNT,Магнит
2023-03-17,4492.0,4504.0,4522.0,4477.0,493631932.5,109861,2023-03-17 23:59:59,2023,MGNT,Магнит
2023-03-20,4509.0,4562.5,4564.0,4485.0,1179254906.0,260375,2023-03-20 23:59:59,2023,MGNT,Магнит
2023-03-21,4563.5,4518.0,4596.5,4495.0,1023221894.0,224691,2023-03-21 23:59:59,2023,MGNT,Магнит
2023-03-22,4520.5,4510.0,4538.0,4502.0,355399761.0,78686,2023-03-22 23:59:59,2023,MGNT,Магнит
2023-03-23,4521.0,4491.0,4528.0,4471.5,613220039.5,136497,2023-03-23 23:59:59,2023,MGNT,Магнит
2023-03-24,4490.0,4495.0,4506.0,4477.0,380225619.0,84673,2023-03-24 23:59:59,2023,MGNT,Магнит
2023-03-27,4503.0,4516.0,4542.0,4495.0,1054692303.5,233799,2023-03-27 23:59:59,2023,MGNT,Магнит
2023-03-28,4526.5,4512.5,4567.0,4502.0,1020318345.0,225323,2023-03-28 23:59:59,2023,MGNT,Магнит
