begin,open,close,high,low,value,volume,end,year,ticker,company_name
2019-09-12,270.4,267.4,271.45,267.0,658785485.0,2447350,2019-09-12 23:59:59,2019,MTSS,МТС
2019-09-13,266.8,267.95,270.1,266.45,578348715.5,2155580,2019-09-13 23:59:59,2019,MTSS,МТС
2019-09-16,269.25,269.3,269.9,265.65,658451458.5,2461160,2019-09-16 23:59:59,2019,MTSS,МТС
2019-09-17,269.5,269.85,270.75,267.8,628576125.5,2333370,2019-09-17 23:59:59,2019,MTSS,МТС
2019-09-18,270.0,271.0,272.3,269.5,482641000.0,1780020,2019-09-18 23:59:59,2019,MTSS,МТС
2019-09-19,271.8,270.3,273.05,269.35,642708994.0,2366110,2019-09-19 23:59:59,2019,MTSS,МТС
2019-09-20,270.2,273.05,273.05,268.35,760971416.0,2805230,2019-09-20 23:59:59,2019,MTSS,МТС
2019-09-23,272.35,269.5,272.35,268.35,699714974.5,2592860,2019-09-23 23:59:59,2019,MTSS,МТС
2019-09-24,269.5,266.15,270.5,265.8,736352738.0,2743320,2019-09-24 23:59:59,2019,MTSS,МТС
2019-09-25,265.95,264.7,267.7,262.9,786642368.0,2962140,2019-09-25 23:59:59,2019,MTSS,МТС
2019-09-26,266.0,266.0,267.0,265.3,317257782.0,1190590,2019-09-26 23:59:59,2019,MTSS,МТС
2019-09-27,266.0,266.7,266.95,264.45,465011513.0,1749460,2019-09-27 23:59:59,2019,MTSS,МТС
2019-09-30,267.0,265.0,268.8,264.55,535821693.5,2012080,2019-09-30 23:59:59,2019,MTSS,МТС
2019-10-01,265.25,264.45,266.8,263.4,614412163.5,2318000,2019-10-01 23:59:59,2019,MTSS,МТС
2019-10-02,264.95,262.35,265.2,262.1,819219652.5,3110690,2019-10-02 23:59:59,2019,MTSS,МТС
2019-10-03,262.0,262.65,263.25,260.8,634189352.5,2422170,2019-10-03 23:59:59,2019,MTSS,МТС
2019-10-04,263.2,263.4,264.0,261.75,318168780.5,1210290,2019-10-04 23:59:59,2019,MTSS,МТС
2019-10-07,264.2,265.7,266.1,262.55,558198912.5,2107190,2019-10-07 23:59:59,2019,MTSS,МТС
2019-10-08,265.1,260.9,265.45,260.55,962380653.5,3657250,2019-10-08 23:59:59,2019,MTSS,МТС
2019-10-09,261.0,268.65,270.85,261.0,3343776009.5,12473530,2019-10-09 23:59:59,2019,MTSS,МТС
2019-10-10,269.7,272.75,272.75,268.65,1431783202.5,5282860,2019-10-10 23:59:59,2019,MTSS,МТС
2019-10-11,265.3,268.0,268.6,265.1,839117528.5,3151290,2019-10-11 23:59:59,2019,MTSS,МТС
2019-10-14,268.0,265.5,268.75,265.0,467098172.5,1754460,2019-10-14 23:59:59,2019,MTSS,МТС
2019-10-15,265.1,267.5,268.3,263.45,453049811.0,1704430,2019-10-15 23:59:59,2019,MTSS,МТС
2019-10-16,267.0,267.75,268.25,267.0,249943037.5,933660,2019-10-16 23:59:59,2019,MTSS,МТС
2019-10-17,266.5,265.35,267.8,264.15,815003709.0,3061070,2019-10-17 23:59:59,2019,MTSS,МТС
2019-10-18,265.55,269.1,269.5,264.9,913248843.0,3409690,2019-10-18 23:59:59,2019,MTSS,МТС
2019-10-21,269.5,267.0,269.5,266.0,764078610.0,2857050,2019-10-21 23:59:59,2019,MTSS,МТС
2019-10-22,267.5,270.3,271.25,266.65,695226193.5,2580380,2019-10-22 23:59:59,2019,MTSS,МТС
2019-10-23,269.9,270.95,271.15,267.75,527398120.0,1954840,2019-10-23 23:59:59,2019,MTSS,МТС
2019-10-24,271.15,275.25,281.35,270.35,1865947445.0,6765830,2019-10-24 23:59:59,2019,MTSS,МТС
2019-10-25,276.9,278.65,280.0,273.3,1563618036.0,5644460,2019-10-25 23:59:59,2019,MTSS,МТС
