begin,open,close,high,low,value,volume,end,year,ticker,company_name
2018-12-19,179.5,181.5,182.70000000000002,178.5,462177380.55,12811780000,2018-12-19 23:59:59,2018,VTBR,ВТБ
2018-12-20,181.075,179.35,181.125,178.5,834751200.25,23266560000,2018-12-20 23:59:59,2018,VTBR,ВТБ
2018-12-21,179.0,176.225,180.45,176.225,641703542.6,18021720000,2018-12-21 23:59:59,2018,VTBR,ВТБ
2018-12-24,177.07500000000002,173.6,178.2,173.1,775414051.9,22142880000,2018-12-24 23:59:59,2018,VTBR,ВТБ
2018-12-25,172.39999999999998,170.87499999999997,172.50000000000003,165.25000000000003,905199514.55,26771770000,2018-12-25 23:59:59,2018,VTBR,ВТБ
2018-12-26,171.97500000000002,172.275,173.475,170.025,613474771.35,17845840000,2018-12-26 23:59:59,2018,VTBR,ВТБ
2018-12-27,174.25,170.24999999999997,174.525,170.24999999999997,711264329.55,20645200000,2018-12-27 23:59:59,2018,VTBR,ВТБ
2018-12-28,170.97500000000002,169.55,172.15,168.85,693889751.15,20352030000,2018-12-28 23:59:59,2018,VTBR,ВТБ
2018-12-29,170.475,169.25,170.72500000000002,169.25,200123694.2,5885490000,2018-12-29 23:59:59,2018,VTBR,ВТБ
2019-01-03,169.52499999999998,171.04999999999998,171.8,168.3,307679094.85,9013110000,2019-01-03 23:59:59,2019,VTBR,ВТБ
2019-01-04,171.2,173.1,173.1,171.1,296856106.25,8609390000,2019-01-04 23:59:59,2019,VTBR,ВТБ
2019-01-08,173.5,174.20000000000002,174.975,172.35,383012779.55,11018110000,2019-01-08 23:59:59,2019,VTBR,ВТБ
2019-01-09,175.00000000000003,175.00000000000003,175.7,174.225,429540026.75,12269360000,2019-01-09 23:59:59,2019,VTBR,ВТБ
2019-01-10,175.00000000000003,175.225,175.3,173.25,448676794.15,12868910000,2019-01-10 23:59:59,2019,VTBR,ВТБ
2019-01-11,175.6,175.925,177.175,174.79999999999998,528556158.7,15016080000,2019-01-11 23:59:59,2019,VTBR,ВТБ
2019-01-14,175.00000000000003,176.5,176.67499999999998,174.025,325828804.15,9282210000,2019-01-14 23:59:59,2019,VTBR,ВТБ
2019-01-15,176.67499999999998,177.32500000000002,179.0,176.575,489075094.2,13762220000,2019-01-15 23:59:59,2019,VTBR,ВТБ
2019-01-16,178.0,178.25,178.64999999999998,176.85,310874843.5,8738100000,2019-01-16 23:59:59,2019,VTBR,ВТБ
2019-01-17,178.4,178.525,178.9,177.775,310759846.55,8713650000,2019-01-17 23:59:59,2019,VTBR,ВТБ
2019-01-18,179.02499999999998,185.5,185.5,179.02499999999998,1266351504.5,34601560000,2019-01-18 23:59:59,2019,VTBR,ВТБ
2019-01-21,185.89999999999998,184.45,188.14999999999998,184.02499999999998,868945871.4,23355290000,2019-01-21 23:59:59,2019,VTBR,ВТБ
2019-01-22,184.25,185.5,186.6,183.025,809610437.9,21930220000,2019-01-22 23:59:59,2019,VTBR,ВТБ
2019-01-23,185.7,187.67499999999998,188.425,185.1,884602823.9,23644490000,2019-01-23 23:59:59,2019,VTBR,ВТБ
2019-01-24,188.0,184.625,189.9,183.70000000000002,1426419576.6,38187530000,2019-01-24 23:59:59,2019,VTBR,ВТБ
2019-01-25,185.1,184.8,185.875,183.2,618785018.6,16794490000,2019-01-25 23:59:59,2019,VTBR,ВТБ
